label,cost_model,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,branch,mask,exit
coq3_momaccel::score_43__hold12_t35_s12,maker_optimistic,6,0.06537930000000003,0.5,0.010896550000000005,-0.012596399999999912,0.03583605522575587,2.8333333333333335,4,0.04358619999999999,0.5,0.010896549999999998,coq3_momaccel,score_43,hold12_t35_s12
coq3_momaccel::score_43__hold8_t35_s12,maker_optimistic,6,0.06537930000000003,0.5,0.010896550000000005,-0.012596399999999912,0.03583605522575587,2.8333333333333335,4,0.04358619999999999,0.5,0.010896549999999998,coq3_momaccel,score_43,hold8_t35_s12
giga5_union::trend_t009__vwap_003__hold12_t35_s12,maker_optimistic,9,0.06271789349056396,0.6666666666666666,0.006968654832284885,-0.012596399999999912,0.021385311760046426,7.555555555555555,5,0.06705968985469951,0.8,0.013411937970939902,giga5_union,trend_t009,vwap_003__hold12_t35_s12
giga5_union::trend_t008__vwap_003__hold12_t35_s12,maker_optimistic,9,0.06223619645779112,0.6666666666666666,0.0069151329397545685,-0.012596399999999912,0.021553315830158546,7.555555555555555,5,0.06657799282192667,0.8,0.013315598564385333,giga5_union,trend_t008,vwap_003__hold12_t35_s12
giga5_union::trend_t009__vwap_003__hold8_t30_s10,maker_optimistic,9,0.05990444603200906,0.5555555555555556,0.006656049559112118,-0.010696649695468399,0.01617745569389599,5.0,5,0.04819670343687305,0.6,0.00963934068737461,giga5_union,trend_t009,vwap_003__hold8_t30_s10
coq3_momaccel::trend_t008__shared_default,maker_optimistic,5,0.059659590515070755,0.6,0.01193191810301415,-0.015595499999999986,0.04528720542306843,3.4,2,-0.01351790948492913,0.5,-0.006758954742464565,coq3_momaccel,trend_t008,shared_default
coq3_momaccel::trend_t009__shared_default,maker_optimistic,5,0.059659590515070755,0.6,0.01193191810301415,-0.015595499999999986,0.04528720542306843,3.4,2,-0.01351790948492913,0.5,-0.006758954742464565,coq3_momaccel,trend_t009,shared_default
coq3_momaccel::score_43__hold8_t30_s10,maker_optimistic,6,0.05638200000000042,0.5,0.00939700000000007,-0.010597000000000054,0.03583605522575587,2.8333333333333335,4,0.03758800000000034,0.5,0.009397000000000086,coq3_momaccel,score_43,hold8_t30_s10
coq3_momaccel::trend_t008__score_43__hold12_t35_s12,maker_optimistic,3,0.056182599999999944,0.6666666666666666,0.018727533333333313,0.0,0.056758069443659104,2.3333333333333335,1,0.03438949999999992,1.0,0.03438949999999992,coq3_momaccel,trend_t008,score_43__hold12_t35_s12
coq3_momaccel::trend_t008__score_43__hold8_t35_s12,maker_optimistic,3,0.056182599999999944,0.6666666666666666,0.018727533333333313,0.0,0.056758069443659104,2.3333333333333335,1,0.03438949999999992,1.0,0.03438949999999992,coq3_momaccel,trend_t008,score_43__hold8_t35_s12
coq3_momaccel::close_075__hold12_t35_s12,maker_optimistic,7,0.052782900000000015,0.42857142857142855,0.007540414285714288,-0.02503413070703982,0.03213731073676107,2.2857142857142856,4,-0.003399699999999964,0.25,-0.000849924999999991,coq3_momaccel,close_075,hold12_t35_s12
coq3_momaccel::close_075__hold8_t35_s12,maker_optimistic,7,0.052782900000000015,0.42857142857142855,0.007540414285714288,-0.02503413070703982,0.03213731073676107,2.2857142857142856,4,-0.003399699999999964,0.25,-0.000849924999999991,coq3_momaccel,close_075,hold8_t35_s12
giga5_union::vwap_0025__hold8_t35_s12,maker_optimistic,24,0.05027562347682967,0.4583333333333333,0.002094817644867903,-0.043507475079842275,0.012145759006929874,5.458333333333333,8,0.08784602030297606,0.625,0.010980752537872007,giga5_union,vwap_0025,hold8_t35_s12
giga5_union::trend_t008__vwap_003__close_075__hold8_t35_s12,maker_optimistic,8,0.04965036723936809,0.625,0.006206295904921011,-0.0125963999999999,0.016235394491024603,6.375,4,0.039942024644231924,0.75,0.009985506161057981,giga5_union,trend_t008,vwap_003__close_075__hold8_t35_s12
giga5_union::trend_t008__vwap_003__close_075__hold8_t30_s10,maker_optimistic,8,0.04865066723936777,0.625,0.006081333404920971,-0.01059700000000011,0.012946907352955495,6.125,4,0.03694292464423177,0.75,0.009235731161057942,giga5_union,trend_t008,vwap_003__close_075__hold8_t30_s10
giga5_union::vwap_0025__hold8_t30_s10,maker_optimistic,24,0.04827622347682946,0.4583333333333333,0.0020115093115345606,-0.03573668031907324,0.011049596627573507,5.416666666666667,8,0.07784902030297625,0.625,0.00973112753787203,giga5_union,vwap_0025,hold8_t30_s10
coq3_momaccel::trend_t008__score_43__hold8_t30_s10,maker_optimistic,3,0.04818500000000017,0.6666666666666666,0.016061666666666724,0.0,0.056758069443659104,2.3333333333333335,1,0.029391000000000094,1.0,0.029391000000000094,coq3_momaccel,trend_t008,score_43__hold8_t30_s10
coq3_momaccel::base__shared_default,maker_optimistic,8,0.04809475237518012,0.5,0.006011844046897515,-0.029733934862184147,0.03412468007081406,3.875,5,-0.025082747624819768,0.4,-0.005016549524963954,coq3_momaccel,base,shared_default
coq3_momaccel::close_075__shared_default,maker_optimistic,7,0.04673007051085707,0.42857142857142855,0.006675724358693867,-0.029733934862184192,0.032786263160052335,3.4285714285714284,4,-0.02644742948914281,0.25,-0.006611857372285703,coq3_momaccel,close_075,shared_default
coq3_momaccel::close_075__hold8_t30_s10,maker_optimistic,7,0.04578500000000038,0.42857142857142855,0.00654071428571434,-0.021081703590999947,0.03213731073676107,2.2857142857142856,4,-0.0023999999999997773,0.25,-0.0005999999999999443,coq3_momaccel,close_075,hold8_t30_s10
giga5_union::vwap_003__hold8_t35_s12,maker_optimistic,25,0.03767922347682986,0.44,0.0015071689390731943,-0.043507475079842275,0.011996931817635241,5.32,9,0.07524962030297626,0.5555555555555556,0.008361068922552917,giga5_union,vwap_003,hold8_t35_s12
giga5_union::vwap_003__hold8_t30_s10,maker_optimistic,25,0.0376792234768295,0.44,0.0015071689390731798,-0.03573668031907324,0.010944615933453125,5.24,9,0.06725202030297629,0.5555555555555556,0.0074724467003306995,giga5_union,vwap_003,hold8_t30_s10
giga5_union::trend_t008__vwap_003__close_075__shared_default,maker_optimistic,8,0.03477820461630304,0.625,0.00434727557703788,-0.015595499999999998,0.01797691700543079,8.375,4,0.03918639282192652,0.75,0.00979659820548163,giga5_union,trend_t008,vwap_003__close_075__shared_default
coq3_momaccel::trend_t008__score_43__shared_default,maker_optimistic,3,0.030155681864322974,0.6666666666666666,0.010051893954774325,0.0,0.057665861622134586,4.333333333333333,1,0.0013646818643230456,1.0,0.0013646818643230456,coq3_momaccel,trend_t008,score_43__shared_default
giga5_union::trend_t008__vwap_003__close_075__hold12_t35_s12,maker_optimistic,8,0.027846696457791226,0.625,0.003480837057223903,-0.012596399999999912,0.01797691700543079,8.375,4,0.032188492821926776,0.75,0.008047123205481694,giga5_union,trend_t008,vwap_003__close_075__hold12_t35_s12
