construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,strategy
persistence_breakout_15,SUIUSD,3951,1773379800,1.0425218299999999,3954,1773382500,1.02870111,TREND_LOST,-0.016357007769323917,0.0021852492048056965,3,87.74164863370687,0.010078739983506871,0.0023050326546292335,0.019722934553958314,0.6978636826042669,persistence_breakout_15
persistence_breakout_15,TAOUSD,3963,1773389700,236.01488504999998,3969,1773395100,241.23923286,TIME_LIMIT,0.019035670845053816,0.026351791111320907,6,105.21249384366955,0.010935633761480297,0.010819439442676673,0.02985184654013705,1.0628408452530156,persistence_breakout_15
persistence_breakout_15,XDGUSD,3975,1773400500,0.09988568869999999,3981,1773405900,0.10036749324,TIME_LIMIT,0.0017235592733116476,0.02116730962680948,6,49.68356152377407,0.009612240623113019,0.004363199505818206,0.027550185229526115,1.1614967265291367,persistence_breakout_15
persistence_breakout_15,HYPEUSD,4000,1773433800,37.01438999999999,4000,1773433800,36.765672,TREND_LOST,-0.009819494769466405,0.0,0,40.50339633257287,0.0007844614514457994,0.0018949648077964344,-0.016552146135448604,0.6666666666666701,persistence_breakout_15
persistence_breakout_15,HYPEUSD,4026,1773457200,37.01438999999999,4032,1773462600,37.224246,TIME_LIMIT,0.0025695787773352256,0.010417840196745293,6,78.86862865161338,0.003155892238426336,0.0,0.005624147538852354,0.7830687830687879,persistence_breakout_15
persistence_breakout_15,TRXUSD,4078,1773493200,0.29811429829999997,4084,1773498600,0.2961032256,TIME_LIMIT,-0.009845978678205351,0.0,6,131.2341492034891,0.003086535613700541,0.0017025629292157997,0.006286370491427428,1.818649217106788,persistence_breakout_15
persistence_breakout_15,TAOUSD,4112,1773523800,244.65729371999996,4116,1773527400,242.585646,TREND_LOST,-0.011567549397365906,0.022315321963171562,4,113.21771474512528,0.00894451798956658,0.006197971089767327,0.02611397299851103,1.2354497354497325,persistence_breakout_15
persistence_breakout_15,SOLUSD,4120,1773530100,88.23267599999998,4126,1773535500,87.507882,TREND_LOST,-0.011314575742891316,0.0,6,86.46901861206143,0.002863772603900597,0.004652746255106795,0.006724647561326166,1.6018518518518632,persistence_breakout_15
persistence_breakout_15,XRPUSD,4131,1773540900,1.4196673679999998,4137,1773546300,1.4079418080000001,TREND_LOST,-0.0113593713600098,0.00023430277225341595,6,63.8050574118965,0.0035734458671549197,0.0016585152406964876,0.00481816245778351,1.3556026424030894,persistence_breakout_15
persistence_breakout_15,TAOUSD,4179,1773584100,271.84942882999997,4179,1773584100,267.75461525341944,STOP_LOSS,-0.01816279999999999,0.001136184730383168,0,79.69925104275622,0.005699030371996938,0.013678622422732994,0.02716138561199762,1.0525154875862135,persistence_breakout_15
persistence_breakout_15,TAOUSD,4181,1773585900,274.84980124,4186,1773590400,272.65793202000003,TREND_LOST,-0.01107478917616533,0.018738229886885924,5,100.8988927072663,0.011310835922952057,0.0073862758417613215,0.04639866859967582,1.0752399696036599,persistence_breakout_15
persistence_breakout_15,SUIUSD,4193,1773597600,1.01283007,4196,1773600300,0.99819597,TREND_LOST,-0.01754872188678193,0.0,3,39.463772718448894,0.0014589825073561794,0.005130735076467778,0.00354059476298074,1.0843373493975843,persistence_breakout_15
persistence_breakout_15,SOLUSD,4210,1773611100,90.07837999999998,4216,1773616500,91.545327,TIME_LIMIT,0.013185228486569353,0.03465448645945922,6,147.0865291102437,0.005384654524473888,0.004104270660011143,0.01839972785349949,1.6055363321799205,persistence_breakout_15
persistence_breakout_15,XDGUSD,4232,1773631800,0.09975508507999999,4238,1773637200,0.10072488189,TIME_LIMIT,0.006621778185265225,0.016316109787232715,6,84.26048433845901,0.00925522993793761,0.001471379903260476,0.008990673157155332,1.3439637588884228,persistence_breakout_15
persistence_breakout_15,ADAUSD,4240,1773639000,0.2861463122,4246,1773644400,0.29102501700000005,TIME_LIMIT,0.013949686094120064,0.021910776175294126,6,77.20624410615316,0.018474028183410596,0.0043810957992610694,0.026759030157148533,1.2101324760268324,persistence_breakout_15
persistence_breakout_15,HYPEUSD,4254,1773662400,39.682635999999995,4256,1773664200,39.084904390459194,STOP_LOSS,-0.018162800000000038,0.0,2,59.5897949483331,0.005936186297604991,0.009334006054490349,0.018003156470554144,1.0693069306930703,persistence_breakout_15
persistence_breakout_15,TAOUSD,4273,1773668700,296.04129183999993,4276,1773671400,291.5820810692724,STOP_LOSS,-0.01816279999999986,0.016101497633567635,3,52.25560464966068,0.014395287292579608,0.005305441203335095,0.04823857982488313,0.8597214760453484,persistence_breakout_15
persistence_breakout_15,XRPUSD,4278,1773673200,1.514660938,4278,1773673200,1.4918459032230937,STOP_LOSS,-0.018162799999999917,0.0,0,145.71400046140496,0.005954223727529954,0.008994270954068236,0.01876112885587954,2.0055277984479676,persistence_breakout_15
persistence_breakout_15,XRPUSD,4291,1773684900,1.5296372209999998,4296,1773689400,1.525675698,TREND_LOST,-0.005689844798239162,0.009317751166307568,5,63.055826842103166,0.009420724227941572,0.0029776707416036582,0.03331015718230789,0.9403508771929836,persistence_breakout_15
persistence_breakout_15,SOLUSD,4301,1773693000,96.03679399999999,4307,1773698400,96.98840100000001,TIME_LIMIT,0.006808775172149376,0.01700604457912262,6,84.72878404691934,0.00604040278698933,0.0033368091762253113,0.02347227344026487,0.8383404864091585,persistence_breakout_15
persistence_breakout_15,GIGAUSD,2703,1773701100,0.0021817424999999997,2704,1773702000,0.0022511033666887496,TAKE_PROFIT,0.028691499999999974,0.03678596351310956,1,149.0838556644316,0.010830862873486453,0.0009186954524576322,0.035496969761426744,1.5643564356435629,persistence_breakout_15
persistence_breakout_15,GIGAUSD,2706,1773703800,0.0023442447,2706,1773703800,0.00230893381093284,STOP_LOSS,-0.018162799999999975,0.0,0,293.13317095906893,0.02777819627472314,0.032189750105887205,0.03616843261093149,2.6153846153846163,persistence_breakout_15
persistence_breakout_15,XRPUSD,4325,1773715500,1.6040070549999998,4326,1773716400,1.5798462175319459,STOP_LOSS,-0.018162799999999986,0.0017474642591271043,1,102.94494061118614,0.011053923284378792,0.0038437500000000624,0.013279839907570425,1.3284327949189243,persistence_breakout_15
persistence_breakout_15,HYPEUSD,4328,1773729000,41.49824699999999,4328,1773729000,41.142063,TREND_LOST,-0.011683109546771745,0.0007651648514215318,0,168.65477361282342,0.005082609210286365,0.003380825887466638,0.01203790312361153,1.230312035661216,persistence_breakout_15
