pair,interval,strategy,trades_full,net_full,win_full,dd_full,avg_mfe_full,trades_recent,net_recent,win_recent,score,verdict,cost_model,side_cost_pct
DOGUSD,1,triple_confluence,30,-0.11452607422037586,0.36666666666666664,-0.11546211758772403,0.006656599539402534,13,-0.05367728952375028,0.3076923076923077,-0.20976335684315764,KILL,taker_like,0.0031
GIGAUSD,3,bb_lower_bounce,10,-0.09382444442239524,0.1,-0.07804538587804238,0.0032963816253345655,4,-0.04795983515511881,0.0,-0.21803854412592272,KILL,taker_like,0.0031
DOGUSD,1,volume_climax_reversal,21,-0.10224399423658681,0.19047619047619047,-0.10599673295968755,0.0030790626446720753,9,-0.05995492139224734,0.1111111111111111,-0.220768150202746,KILL,taker_like,0.0031
HYPEUSD,5,vwap_reclaim_trend,16,-0.09734959876140448,0.1875,-0.11033139901417462,0.0032973745003022636,8,-0.06920396238256876,0.125,-0.22835948592983898,KILL,taker_like,0.0031
HYPEUSD,3,triple_confluence,30,-0.10395728267498505,0.23333333333333334,-0.10439179458170504,0.005163179352460889,12,-0.06524435530895523,0.08333333333333333,-0.22851232674312882,KILL,taker_like,0.0031
DOGUSD,3,atr_squeeze_expand,22,-0.11028870346296193,0.3181818181818182,-0.12055605616918436,0.006593893870575659,10,-0.06867576485825788,0.3,-0.23136060500894418,KILL,taker_like,0.0031
COQUSD,1,deep_vwap_pullback,19,-0.14760291955632188,0.21052631578947367,-0.13401122186067568,0.014437237992402544,7,-0.051874108267561114,0.2857142857142857,-0.250649717369057,KILL,taker_like,0.0031
COQUSD,3,triple_confluence,18,-0.1708426244663036,0.2222222222222222,-0.16031732761051445,0.011718210662033565,5,-0.03588397179786651,0.4,-0.25413638220495893,KILL,taker_like,0.0031
GIGAUSD,1,momentum_breakout,14,-0.10706045982521184,0.14285714285714285,-0.09884428143451365,0.007726800229279058,9,-0.07666624779678555,0.2222222222222222,-0.25788797417979953,KILL,taker_like,0.0031
GIGAUSD,5,volume_climax_reversal,12,-0.11660707745916687,0.0,-0.0980974049277227,0.001925444569067088,5,-0.05900273623376173,0.0,-0.2645606521127763,KILL,taker_like,0.0031
COQUSD,3,deep_vwap_pullback,20,-0.14757615788619427,0.2,-0.16191789079999244,0.01098450861985042,10,-0.07071875788619397,0.2,-0.2774555758865723,KILL,taker_like,0.0031
GIGAUSD,1,red_streak_reversal,21,-0.13666055202648786,0.23809523809523808,-0.12108577258199808,0.0021128814346672207,7,-0.0633195411562344,0.0,-0.27932327537322066,KILL,taker_like,0.0031
HYPEUSD,3,vwap_reclaim_trend,19,-0.12156588375264887,0.21052631578947367,-0.10376612990241169,0.002109578497629938,10,-0.07599481378001038,0.1,-0.2834431686756536,KILL,taker_like,0.0031
GIGAUSD,3,volume_spike_trend,84,-0.1998278682564093,0.3333333333333333,-0.29036380467489575,0.010335638062996493,35,-0.04793571542405517,0.37142857142857144,-0.2892214397265171,KILL,taker_like,0.0031
COQUSD,5,momentum_breakout_trail,47,-0.0898699885947265,0.3617021276595745,-0.15559286064475128,0.02061448350200699,20,-0.13134249354246352,0.25,-0.29181217005437643,KILL,taker_like,0.0031
COQUSD,3,momentum_breakout_trail,49,-0.19262210808941227,0.32653061224489793,-0.22648380181061764,0.017617196378840363,20,-0.06087415057084544,0.35,-0.29545726337670286,KILL,taker_like,0.0031
GIGAUSD,1,momentum_breakout_trail,47,-0.19871858811052068,0.2978723404255319,-0.20548397162529453,0.00950732423808822,22,-0.055509962582529715,0.4090909090909091,-0.30286835703335035,KILL,taker_like,0.0031
COQUSD,1,triple_confluence,18,-0.18524932903807245,0.16666666666666666,-0.1661814100106142,0.006728261756630068,6,-0.065352037750262,0.16666666666666666,-0.3099244288329634,KILL,taker_like,0.0031
GIGAUSD,3,volume_climax_reversal,11,-0.11690286364089864,0.0,-0.09734304790861684,0.0016397582046667747,6,-0.06116145973400411,0.0,-0.31014601962030486,KILL,taker_like,0.0031
DOGUSD,3,triple_confluence,25,-0.17092734839548918,0.32,-0.16378577295698943,0.006192647061113492,11,-0.07290387931585651,0.2727272727272727,-0.31342376882983397,KILL,taker_like,0.0031
DOGUSD,1,bb_squeeze_breakout,27,-0.15355975013163914,0.2222222222222222,-0.15162009287140857,0.0044485629456834175,11,-0.08312873639664653,0.18181818181818182,-0.3158423573334577,KILL,taker_like,0.0031
DOGUSD,3,red_streak_reversal,18,-0.15270079550640592,0.05555555555555555,-0.1310430194591665,0.0012022938081615894,9,-0.06652993881883151,0.1111111111111111,-0.317475731085028,KILL,taker_like,0.0031
GIGAUSD,5,volume_spike_trend,80,-0.21542416709094092,0.3,-0.2270698847062823,0.010426562060226508,33,-0.06024669375296754,0.30303030303030304,-0.324618866178189,KILL,taker_like,0.0031
GIGAUSD,3,quiet_then_burst,39,-0.18412025511968888,0.28205128205128205,-0.20657004521420727,0.0064272906520651,13,-0.07628013404803324,0.23076923076923078,-0.3256890199950421,KILL,taker_like,0.0031
COQUSD,5,triple_confluence,17,-0.22684936486556717,0.17647058823529413,-0.210882373258763,0.00994501273705054,4,-0.04301321044377826,0.25,-0.34296480589280764,KILL,taker_like,0.0031
GIGAUSD,3,rsi_momentum_thrust,72,-0.21862072806440513,0.3333333333333333,-0.20647114339312958,0.008412162483639756,33,-0.07474929676514697,0.36363636363636365,-0.35297811255507594,KILL,taker_like,0.0031
HYPEUSD,5,triple_confluence,23,-0.19172322024708222,0.08695652173913043,-0.16058140679296692,0.003054552167888993,11,-0.08849871304686041,0.0,-0.37358358798717634,KILL,taker_like,0.0031
GIGAUSD,1,atr_squeeze_expand,28,-0.20335338040068263,0.21428571428571427,-0.18693916360544613,0.005391964470541776,12,-0.09240787420770569,0.25,-0.3867577545476931,KILL,taker_like,0.0031
COQUSD,1,rsi_momentum_thrust,36,-0.21907110696039378,0.2777777777777778,-0.1951706486688489,0.017100751961013707,12,-0.09789816414349073,0.25,-0.3884022895941861,KILL,taker_like,0.0031
GIGAUSD,1,triple_confluence,36,-0.2166814098596701,0.25,-0.19759537438553657,0.005860297680357297,16,-0.08927049076703464,0.3125,-0.3928671658734583,KILL,taker_like,0.0031
