cost_model,pair,interval,strategy,trades_full,net_full,trades_recent,net_recent,score,keep
taker_like,HYPEUSD,3,rsi_oversold_trend,0,0.0,0,0.0,0.0,False
taker_like,HYPEUSD,3,bb_lower_bounce,57,-0.33551951105192446,28,-0.1861954887875078,-0.6866040767394916,False
taker_like,HYPEUSD,3,deep_vwap_pullback,110,-0.7165468691081701,34,-0.24444544150297565,-1.1709331816735453,False
taker_like,HYPEUSD,3,ema_fast_bounce,312,-1.7890596730735244,135,-0.8492858819785559,-3.1887368748142944,False
taker_like,HYPEUSD,3,red_streak_reversal,81,-0.46925000109726067,37,-0.25002960834287835,-0.9352885582584219,False
taker_like,HYPEUSD,3,bb_squeeze_breakout,52,-0.21584337492615224,37,-0.16611094857002107,-0.49700886298921526,False
taker_like,HYPEUSD,3,atr_squeeze_expand,5,0.006442166049636322,1,-0.002900075282115666,0.0068061531285575,False
taker_like,HYPEUSD,3,quiet_then_burst,45,-0.25351061724999313,14,-0.102839103482666,-0.4452307093393398,False
taker_like,HYPEUSD,3,higher_low_structure,289,-1.7004859104189112,134,-0.8379478486098967,-3.0901497763259775,False
taker_like,HYPEUSD,3,vwap_reclaim_trend,19,-0.12156588375264887,10,-0.07599481378001038,-0.2834431686756536,False
taker_like,HYPEUSD,3,momentum_accel,172,-1.1215981435664149,63,-0.4772022720273944,-1.9204721026804346,False
taker_like,HYPEUSD,3,volume_spike_trend,134,-0.860091282434399,44,-0.31029842270002983,-1.4100333997821193,False
taker_like,HYPEUSD,3,volume_climax_reversal,62,-0.4059480571556866,36,-0.2578717141761996,-0.8806804978204968,False
taker_like,HYPEUSD,3,triple_confluence,30,-0.10395728267498505,12,-0.06524435530895523,-0.22851232674312882,False
taker_like,HYPEUSD,3,dip_buy_confluence,0,0.0,0,0.0,0.0,False
taker_like,HYPEUSD,3,breakout_asymmetric,1,-0.013069000000000108,0,0.0,-0.013069000000000108,False
taker_like,HYPEUSD,3,breakout_scalp,169,-1.0287750265192503,65,-0.39843407809383946,-1.7570918505920883,False
taker_like,HYPEUSD,5,momentum_breakout,9,-0.07696117883071496,4,-0.0547957141591604,-0.18518521253109094,False
taker_like,HYPEUSD,5,momentum_breakout_trail,47,-0.5034662399469961,14,-0.14131237841697608,-0.7883664283936238,False
taker_like,HYPEUSD,5,macd_trend_long,0,0.0,0,0.0,0.0,False
taker_like,HYPEUSD,5,rsi_momentum_thrust,165,-1.1298464735864648,73,-0.4938356298255663,-1.9771953938322528,False
taker_like,HYPEUSD,5,rsi_oversold_trend,0,0.0,0,0.0,0.0,False
taker_like,HYPEUSD,5,bb_lower_bounce,37,-0.17776027914973447,23,-0.1432740961064366,-0.43592436944050417,False
taker_like,HYPEUSD,5,deep_vwap_pullback,54,-0.36881285340938064,17,-0.12058959847786743,-0.6062671544457675,False
taker_like,HYPEUSD,5,ema_fast_bounce,271,-1.468595745142919,118,-0.6539041891157507,-2.550286995579357,False
taker_like,HYPEUSD,5,red_streak_reversal,37,-0.22067207585687532,17,-0.12506020041907084,-0.4744286339627382,False
taker_like,HYPEUSD,5,bb_squeeze_breakout,32,-0.17629001275301903,19,-0.13700122422683225,-0.4164025179195425,False
